,data,temperatura_media_dia,precipitacao_media_dia
261,2019/09/19,17.53,1.27
262,2019/09/20,18.5,1.96
263,2019/09/21,16.31,0.05
264,2019/09/22,17.43,0.0
265,2019/09/23,15.07,0.0
266,2019/09/24,15.99,0.01
267,2019/09/25,18.22,0.0
268,2019/09/26,19.1,0.01
269,2019/09/27,19.17,0.01
270,2019/09/28,17.98,0.0
271,2019/09/29,18.75,0.0
272,2019/09/30,20.0,0.04
273,2019/10/01,21.04,0.0
274,2019/10/02,21.36,0.0
275,2019/10/03,20.22,0.22
276,2019/10/04,20.26,0.05
277,2019/10/05,21.78,0.01
278,2019/10/06,17.97,0.49
279,2019/10/07,18.02,0.28
280,2019/10/08,19.91,0.01
281,2019/10/09,20.64,0.0
282,2019/10/10,20.69,0.0
283,2019/10/11,22.43,0.0
284,2019/10/12,22.05,0.0
285,2019/10/13,23.08,0.0
286,2019/10/14,23.04,0.52
287,2019/10/15,17.48,0.21
288,2019/10/16,18.8,0.18
289,2019/10/17,21.89,0.11
290,2019/10/18,23.82,0.52
291,2019/10/19,21.28,0.0
292,2019/10/20,18.65,0.0
293,2019/10/21,17.17,0.49
294,2019/10/22,19.72,0.0
295,2019/10/23,20.45,0.0
296,2019/10/24,21.18,0.0
297,2019/10/25,22.69,0.02
298,2019/10/26,22.06,0.03
299,2019/10/27,23.38,0.87
300,2019/10/28,21.87,0.24
301,2019/10/29,23.71,0.0
302,2019/10/30,24.88,0.0
303,2019/10/31,24.49,0.0
304,2019/11/01,22.2,0.14
305,2019/11/02,23.6,0.11
306,2019/11/03,24.81,0.24
307,2019/11/04,22.12,0.05
308,2019/11/05,22.57,0.32
309,2019/11/06,21.29,0.03
310,2019/11/07,20.02,0.27
311,2019/11/08,21.56,0.05
312,2019/11/09,21.75,0.24
313,2019/11/10,22.7,0.42
314,2019/11/11,21.62,2.27
315,2019/11/12,20.69,0.7
316,2019/11/13,21.41,0.62
317,2019/11/14,22.31,0.94
318,2019/11/15,22.42,0.05
319,2019/11/16,21.54,0.0
320,2019/11/17,21.28,0.0
321,2019/11/18,20.58,0.0
322,2019/11/19,21.23,0.0
323,2019/11/20,23.78,0.0
324,2019/11/21,23.85,0.29
325,2019/11/22,24.94,0.0
326,2019/11/23,23.2,0.11
327,2019/11/24,19.82,0.0
328,2019/11/25,20.3,0.0
329,2019/11/26,19.41,0.0
330,2019/11/27,21.18,0.78
331,2019/11/28,21.97,0.08
332,2019/11/29,20.4,0.0
333,2019/11/30,23.02,0.0
334,2019/12/01,23.53,0.0
335,2019/12/02,21.55,0.0
336,2019/12/03,20.19,0.0
337,2019/12/04,20.13,0.34
338,2019/12/05,22.4,0.07
339,2019/12/06,21.58,0.07
340,2019/12/07,22.74,0.0
341,2019/12/08,21.55,0.0
342,2019/12/09,20.82,0.07
343,2019/12/10,22.93,0.01
344,2019/12/11,23.9,0.0
345,2019/12/12,25.59,0.04
346,2019/12/13,22.85,0.0
347,2019/12/14,21.99,0.0
348,2019/12/15,23.86,0.16
349,2019/12/16,24.5,0.38
350,2019/12/17,20.77,1.21
351,2019/12/18,20.36,0.25
352,2019/12/19,21.48,0.08
353,2019/12/20,23.02,0.0
354,2019/12/21,25.24,1.01
355,2019/12/22,23.91,0.02
356,2019/12/23,23.1,0.0
357,2019/12/24,23.69,0.0
358,2019/12/25,25.35,0.0
359,2019/12/26,25.97,0.0
360,2019/12/27,24.99,0.0
361,2019/12/28,25.16,0.01
362,2019/12/29,25.33,0.0
363,2019/12/30,25.19,0.0
364,2019/12/31,26.01,0.03
